일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/12/06","50900","100","0.20","50700","51100","50200","735503","37302792200","22624844873000","444495970"
"2023/12/05","50800","0","0.00","50700","51200","50200","1142447","57992282100","22580395276000","444495970"
"2023/12/04","50800","1100","2.21","49800","51300","49750","1785113","90624610300","22580395276000","444495970"
"2023/12/01","49700","-800","-1.58","50400","50400","49650","1105367","55174771850","22091449709000","444495970"
"2023/11/30","50500","0","0.00","50200","50900","50000","1613598","81271347200","22447046485000","444495970"
"2023/11/29","50500","-600","-1.17","50800","51300","50100","1284120","65153113600","22447046485000","444495970"
"2023/11/28","51100","1250","2.51","50000","51200","49800","1423510","71984009100","22713744067000","444495970"
"2023/11/27","49850","-650","-1.29","50800","51000","49300","1480318","74049856350","22158124104500","444495970"
"2023/11/24","50500","200","0.40","50400","50900","50000","1011208","50924851000","22447046485000","444495970"
"2023/11/23","50300","0","0.00","50400","50600","49600","1394573","70003941750","22358147291000","444495970"
"2023/11/22","50300","1050","2.13","48750","51000","48250","2467921","123017206900","22358147291000","444495970"
"2023/11/21","49250","1450","3.03","48300","49600","48300","2483017","122292652050","21891426522500","444495970"
"2023/11/20","47800","300","0.63","47250","48150","47000","929546","44429067400","21246907366000","444495970"
"2023/11/17","47500","-700","-1.45","48150","48150","47200","1144308","54485204450","21113558575000","444495970"
"2023/11/16","48200","-100","-0.21","47400","48250","46850","1565115","74691570750","21424705754000","444495970"
"2023/11/15","48300","1950","4.21","47200","48450","46800","2792797","134088100500","21469155351000","444495970"
"2023/11/14","46350","1350","3.00","46150","46950","45500","1718239","79607953650","20602388209500","444495970"
"2023/11/13","45000","-650","-1.42","45800","46450","44900","1288632","58636599800","20002318650000","444495970"
"2023/11/10","45650","50","0.11","45800","46100","45000","1978790","90244698550","20291241030500","444495970"
"2023/11/09","45600","1650","3.75","43450","46500","43450","3198261","144955664950","20268536246400","444485444"
"2023/11/08","43950","200","0.46","44350","45000","43850","1515109","67077306800","19535135263800","444485444"
"2023/11/07","43750","-950","-2.13","44700","44750","42850","2026104","88422332050","19446238175000","444485444"
"2023/11/06","44700","3400","8.23","43000","44700","42300","4871031","212287655400","19868499346800","444485444"
"2023/11/03","41300","2750","7.13","39250","41550","38900","3675484","149670248050","18357248837200","444485444"
"2023/11/02","38550","950","2.53","38000","38600","37900","1529650","58700281950","17134913866200","444485444"
"2023/11/01","37600","-200","-0.53","38000","38300","37450","1272093","48130334750","16712652694400","444485444"
"2023/10/31","37800","-200","-0.53","38250","38950","37450","1791726","68076650300","16801549783200","444485444"
"2023/10/30","38000","250","0.66","37650","38400","37600","1290753","49073884650","16890446872000","444485444"
"2023/10/27","37750","100","0.27","37650","38050","37300","1323041","49941062450","16779325511000","444485444"
"2023/10/26","37650","-1300","-3.34","38250","38500","37400","2073618","78441610400","16734876966600","444485444"
"2023/10/25","38950","-650","-1.64","39600","39650","38850","1422352","55638491050","17312708043800","444485444"
"2023/10/24","39600","1650","4.35","38300","39700","37850","2739742","106068183800","17601623582400","444485444"
"2023/10/23","37950","-1100","-2.82","38200","38900","37850","2585077","99046601350","16868222599800","444485444"
"2023/10/20","39050","-1450","-3.58","39750","40150","38850","2483524","97490747750","17357156588200","444485444"
"2023/10/19","40500","-1300","-3.11","41000","41400","40450","1699061","69175311650","18001660482000","444485444"
"2023/10/18","41800","-1000","-2.34","42400","42950","41800","1389354","58551426600","18579491559200","444485444"
"2023/10/17","42800","-350","-0.81","43400","44050","42800","1063385","46002908900","19023977003200","444485444"
"2023/10/16","43150","-50","-0.12","43250","43900","42400","941701","40568929650","19179546908600","444485444"
"2023/10/13","43200","-450","-1.03","43250","43650","43050","589597","25559627850","19201771180800","444485444"
"2023/10/12","43650","1000","2.34","42700","44000","42600","1373599","59855515800","19398978046800","444421032"
"2023/10/11","42650","1250","3.02","41900","43200","41900","1343809","57341401650","18954557014800","444421032"
"2023/10/10","41400","-650","-1.55","42100","42350","41200","1273485","53218111000","18399030724800","444421032"
"2023/10/06","42050","1200","2.94","40600","42100","40600","1130815","47112552300","18687904395600","444421032"
"2023/10/05","40850","-750","-1.80","41750","42400","40700","1859309","77010614150","18154599157200","444421032"
"2023/10/04","41600","-2350","-5.35","43050","43100","41600","2511805","105958716350","18487914931200","444421032"
"2023/09/27","43950","200","0.46","43150","44200","43150","1134533","49696415550","19532304356400","444421032"
"2023/09/26","43750","-1050","-2.34","44650","44800","43400","1875514","82216208950","19443420150000","444421032"
"2023/09/25","44800","-250","-0.55","44900","45250","44650","1141723","51202231800","19910062233600","444421032"
"2023/09/22","45050","-600","-1.31","45100","45650","44800","1395423","63076175750","20021167491600","444421032"
"2023/09/21","45650","-1450","-3.08","46800","47150","45600","2463267","113874064050","20287820110800","444421032"
"2023/09/20","47100","-750","-1.57","47850","47950","47050","1245851","59045121700","20932230607200","444421032"
"2023/09/19","47850","-750","-1.54","48600","48700","47800","991657","47708765650","21265546381200","444421032"
"2023/09/18","48600","-250","-0.51","48550","49200","48450","876697","42788343500","21598862155200","444421032"
"2023/09/15","48850","550","1.14","48100","48900","48100","1695681","82623946450","21709967413200","444421032"
"2023/09/14","48300","500","1.05","47850","48300","47450","1687973","81088266050","21465535845600","444421032"
"2023/09/13","47800","-600","-1.24","48100","48150","47300","1898035","90419357321","21243325329600","444421032"
"2023/09/12","48400","150","0.31","48200","48750","48150","1383694","66962755050","21509977948800","444421032"
"2023/09/11","48250","0","0.00","48250","48350","47900","1017094","48893543950","21443314794000","444421032"
"2023/09/08","48250","-500","-1.03","48650","48750","48000","1116295","53874120364","21443314794000","444421032"
"2023/09/07","48750","-300","-0.61","48700","49600","48600","925935","45364028100","21662115637500","444351090"
"2023/09/06","49050","150","0.31","49000","49200","48500","830228","40523087900","21795420964500","444351090"
"2023/09/05","48900","-200","-0.41","49100","49350","48850","676829","33149791950","21728768301000","444351090"
"2023/09/04","49100","150","0.31","48900","49450","48400","1020561","49941347250","21817638519000","444351090"
"2023/09/01","48950","850","1.77","47950","49300","47950","1371351","66902822200","21750985855500","444351090"
"2023/08/31","48100","-900","-1.84","49000","49100","48100","1699582","82033164300","21373287429000","444351090"
"2023/08/30","49000","400","0.82","49150","49400","48750","888093","43529516400","21773203410000","444351090"
"2023/08/29","48600","600","1.25","48000","48700","48000","864728","41914682350","21595462974000","444351090"
"2023/08/28","48000","-100","-0.21","48550","48650","47800","974367","46813610600","21328852320000","444351090"
"2023/08/25","48100","-1000","-2.04","48000","48550","47600","1330506","63982574850","21373287429000","444351090"
"2023/08/24","49100","200","0.41","49450","50100","48900","1735760","85815016000","21817638519000","444351090"
"2023/08/23","48900","250","0.51","48700","49700","48450","1344907","65779535200","21728768301000","444351090"
"2023/08/22","48650","250","0.52","48550","49400","48400","1131155","55255250900","21617680528500","444351090"
"2023/08/21","48400","-50","-0.10","48500","49450","48250","1010367","49196777100","21506592756000","444351090"
"2023/08/18","48450","-800","-1.62","48650","49300","48200","1384622","67311628100","21528810310500","444351090"
"2023/08/17","49250","-1050","-2.09","50000","50100","49150","1640558","81096011000","21884291182500","444351090"
"2023/08/16","50300","-400","-0.79","50300","51100","49850","1125125","56795112600","22350859827000","444351090"
"2023/08/14","50700","-900","-1.74","51700","52000","50600","1062345","54427104700","22528600263000","444351090"
"2023/08/11","51600","-1000","-1.90","51400","52500","50600","1591602","82401625000","22928516244000","444351090"
"2023/08/10","52600","-200","-0.38","52300","53100","51900","1645198","86408729200","23368249054000","444263290"
"2023/08/09","52800","1000","1.93","52100","53200","52100","1095062","57669280200","23457101712000","444263290"
"2023/08/08","51800","-900","-1.71","53500","53600","51800","1512333","79061078700","23012838422000","444263290"
"2023/08/07","52700","900","1.74","51700","54000","51200","2755342","146433524900","23412675383000","444263290"
"2023/08/04","51800","-1500","-2.81","53800","55000","51000","3173204","166585777500","23012838422000","444263290"
"2023/08/03","53300","100","0.19","52800","53800","52300","2146867","114116055900","23679233357000","444263290"
"2023/08/02","53200","-1700","-3.10","55100","55100","52300","2936126","157094023000","23634807028000","444263290"
"2023/08/01","54900","3600","7.02","51800","55300","51800","7074120","384759856500","24390054621000","444263290"
"2023/07/31","51300","700","1.38","50900","51800","50000","2204300","112729562600","22790706777000","444263290"
